lms_logins_per_week,avg_submission_delay_days,attendance_percentage,inactivity_gap_days,night_activity_ratio,study_time_variance,sentiment_score,feedback_negativity_flag,past_sem_gpa,gpa_drop_rate,burnout_level,dropout_probability,disengagement_flag
52,2.47,87.97361897453374,0,0.43347271770541057,1.372796226937673,-0.010228816333812452,0,8.984013753987512,0.37,Medium,0.22,0
15,0.45,67.71515760463825,13,0.4512785135169403,0.9459889062509493,-0.2481934533237562,0,8.185633520745295,0.18,Low,0.22,1
72,0.47,48.92195909785289,13,0.43394543642874556,1.08488563136987,0.06469735093134332,1,5.115226447235316,0.39,High,0.43,1
61,2.33,83.4297209093767,5,0.1749595799126025,0.7916440123177902,0.6700228373169517,0,5.676630550166284,0.38,Medium,0.24,0
21,0.5,51.20610497620053,9,0.38161892222589183,0.3053627979296539,-0.6827586808002848,1,4.911136546213443,0.01,High,0.42,1
75,1.15,84.31299246220657,0,0.20311689968630645,0.9890501616418739,0.2790632486154603,0,7.0343431673439465,0.16,Low,0.16,0
75,3.05,68.76113735295,6,0.5005202471186304,0.5899353381774285,-0.963929214319964,0,5.213432266117634,0.38,High,0.37,0
24,3.06,67.2245055456581,14,0.033069697374763486,0.10811090756779335,0.5800891886075676,0,4.952608152150832,0.33,High,0.38,1
3,1.21,91.08610227144848,9,0.02263245161546554,0.9049351881777341,0.631259043003747,1,4.9626012358532465,0.08,Low,0.23,1
22,3.14,82.51621146044013,4,0.06102505472555586,0.3777163076716038,-0.2412444057201688,0,5.595229009998449,0.35,High,0.29,0
53,3.65,41.97464781729636,9,0.12141791667791384,1.3411078909505731,-0.6533335014311217,0,8.854175425060397,0.08,High,0.57,1
2,2.13,57.77045887609614,13,0.02258121545096039,1.4075226125183022,0.6221221465972486,0,9.629747771037888,0.37,High,0.38,1
30,0.52,92.25523965099391,3,0.0429700135268082,0.32704228589367634,0.8184180711899609,0,9.9751519572652,0.03,Low,0.08,0
38,0.64,41.099570112711916,0,0.18363389564078839,0.14117789838016126,-0.8493865852292186,0,4.241686135876196,0.38,High,0.39,0
2,0.76,72.71520677571823,8,0.05987440907115344,0.10566220832803751,0.1596135475327849,1,7.413438260291512,0.03,Low,0.31,1
64,0.25,83.66954015043663,14,0.4812442660048746,1.378260977490477,0.8763086785497078,1,5.598664252432215,0.09,Low,0.21,1
60,0.64,77.31136512907455,6,0.03232043337637842,0.31282600242630815,0.28747172894019024,0,9.933452927842016,0.23,Low,0.17,0
21,0.47,85.63193212626618,1,0.5447576681312616,0.7094654167642348,0.640640403844694,1,9.905970814360325,0.08,Low,0.21,0
33,1.22,83.54151093488474,3,0.5225037263645844,0.1800259130856623,-0.5403561052229509,0,9.60463913606177,0.16,Low,0.17,0
76,4.78,81.5218417091868,3,0.125030619528384,0.6226842141411251,-0.7953292533250904,1,4.085344802084454,0.07,High,0.5,0
58,0.22,89.29239165553912,7,0.04291623166152427,1.1995948567149675,-0.2476241225586624,0,4.927128243831053,0.22,Low,0.08,0
22,2.55,78.7414401069723,1,0.06332102709343386,0.6693361292302915,-0.20977968458429852,0,7.3147034465985605,0.24,Medium,0.28,0
49,2.32,64.14510965541892,10,0.3354529419985759,1.185812282138129,0.5724073812558637,0,5.123729968627141,0.09,Medium,0.35,1
59,0.2,68.31454659487525,4,0.3605494439909269,1.0643749140450514,-0.18741103725071784,0,9.129110450275192,0.12,Low,0.2,0
42,5.12,83.00348696088703,9,0.18934967164548147,0.8242313299119263,-0.5267954910797632,0,8.198425702105274,0.3,High,0.41,1
60,1.68,92.57836178000764,7,0.1781002009780804,1.1327937351720085,0.7726810261935251,0,5.104496354823985,0.03,Medium,0.15,0
80,0.9,56.33312805038654,5,0.3189007610918311,1.3307595919485848,0.5653086688205031,0,8.910467931709492,0.18,High,0.32,0
15,2.83,60.524607758264246,3,0.1833768264403136,1.2102160264948736,0.33460327272754053,1,6.989642972676728,0.12,Medium,0.51,0
62,0.6,95.84436378174476,4,0.5605916967531702,1.0684218989111658,-0.5857747091913128,1,8.258270270068085,0.16,Low,0.16,0
62,2.37,74.71070754456673,1,0.22957906734185377,1.0825510737793052,-0.5903759451456336,1,4.838972264578647,0.33,Medium,0.39,0
